request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,orig_prompt,actual_prompt,revised_prompt,prompt_extend,has_orig_prompt,has_actual_prompt,has_revised_prompt_field,has_nonempty_revised_prompt,has_prompt_extend,no_exposed_rewrite_observed,exposed_prompt_transformation_observed,revised_prompt_english_like,actual_prompt_english_like,metadata_operation_category,manual_object_presence,manual_color_binding,manual_count_match,manual_relation_match,manual_negation_match,manual_strict_success,manual_observation_status,manual_observation_note,http_status,elapsed_seconds,image_format_observed,image_url_source,output_png,sidecar_json
11,S03_base,S03,spatial_color,base,above,en,English,A purple chair is above an orange table.,A purple chair is above an orange table.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.255,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_en.json
12,S03_base,S03,spatial_color,base,above,zh,Chinese,紫色椅子在橙色桌子的上方。,紫色椅子在橙色桌子的上方。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.328,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_zh.json
13,S03_base,S03,spatial_color,base,above,hi,Hindi,एक बैंगनी कुर्सी एक नारंगी मेज़ के ऊपर है।,एक बैंगनी कुर्सी एक नारंगी मेज़ के ऊपर है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.32,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_hi.json
14,S03_base,S03,spatial_color,base,above,es,Spanish,Una silla morada está encima de una mesa naranja.,Una silla morada está encima de una mesa naranja.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.515,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_es.json
15,S03_base,S03,spatial_color,base,above,fr,French,Une chaise violette est au-dessus de une table orange.,Une chaise violette est au-dessus de une table orange.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.37,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S03_base_fr.json
16,S04_base,S04,spatial_color,base,below,en,English,A pink vase is below a black lamp.,A pink vase is below a black lamp.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,17.002,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_en.json
17,S04_base,S04,spatial_color,base,below,zh,Chinese,粉色花瓶在黑色灯的下方。,粉色花瓶在黑色灯的下方。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.423,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_zh.json
18,S04_base,S04,spatial_color,base,below,hi,Hindi,एक गुलाबी फूलदान एक काला लैंप के नीचे है।,एक गुलाबी फूलदान एक काला लैंप के नीचे है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.463,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_hi.json
19,S04_base,S04,spatial_color,base,below,es,Spanish,Un jarrón rosa está debajo de una lámpara negra.,Un jarrón rosa está debajo de una lámpara negra.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.615,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_es.json
20,S04_base,S04,spatial_color,base,below,fr,French,Un vase rose est au-dessous de une lampe noire.,Un vase rose est au-dessous de une lampe noire.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.433,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S04_base_fr.json
21,S05_base,S05,quantity_color,base,left_of,en,English,Two red apples are to the left of one green pear.,Two red apples are to the left of one green pear.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.573,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_en.json
22,S05_base,S05,quantity_color,base,left_of,zh,Chinese,两个红色苹果在一个绿色梨的左边。,两个红色苹果在一个绿色梨的左边。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.342,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_zh.json
23,S05_base,S05,quantity_color,base,left_of,hi,Hindi,दो लाल सेब एक हरी नाशपाती के बाईं ओर हैं।,दो लाल सेब एक हरी नाशपाती के बाईं ओर हैं।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.579,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_hi.json
24,S05_base,S05,quantity_color,base,left_of,es,Spanish,Dos manzanas roja están a la izquierda de una pera verde.,Dos manzanas roja están a la izquierda de una pera verde.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.234,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_es.json
25,S05_base,S05,quantity_color,base,left_of,fr,French,Deux pommes rouge sont à gauche de une poire verte.,Deux pommes rouge sont à gauche de une poire verte.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,12.062,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_base_fr.json
26,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,en,English,One red apple is to the left of one green pear.,One red apple is to the left of one green pear.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.187,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_en.json
27,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,zh,Chinese,一个红色苹果在一个绿色梨的左边。,一个红色苹果在一个绿色梨的左边。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.817,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_zh.json
28,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,hi,Hindi,एक लाल सेब एक हरी नाशपाती के बाईं ओर है।,एक लाल सेब एक हरी नाशपाती के बाईं ओर है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,19.028,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_hi.json
29,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,es,Spanish,Una manzana roja está a la izquierda de una pera verde.,Una manzana roja está a la izquierda de una pera verde.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.364,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_es.json
30,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,fr,French,Une pomme rouge est à gauche de une poire verte.,Une pomme rouge est à gauche de une poire verte.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.714,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S05_quantity_shift_fr.json
31,S06_base,S06,quantity_color,base,right_of,en,English,Three blue balloons are to the right of one yellow box.,Three blue balloons are to the right of one yellow box.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.542,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_en.json
32,S06_base,S06,quantity_color,base,right_of,zh,Chinese,三个蓝色气球在一个黄色盒子的右边。,三个蓝色气球在一个黄色盒子的右边。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.814,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_zh.json
33,S06_base,S06,quantity_color,base,right_of,hi,Hindi,तीन नीले गुब्बारा एक पीला डिब्बा के दाईं ओर हैं।,तीन नीले गुब्बारा एक पीला डिब्बा के दाईं ओर हैं।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.632,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_hi.json
34,S06_base,S06,quantity_color,base,right_of,es,Spanish,Tres globos azul están a la derecha de una caja amarilla.,Tres globos azul están a la derecha de una caja amarilla.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.554,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_es.json
35,S06_base,S06,quantity_color,base,right_of,fr,French,Trois ballons bleu sont à droite de une boîte jaune.,Trois ballons bleu sont à droite de une boîte jaune.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.389,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S06_base_fr.json
36,S07_base,S07,attribute_binding,base,left_of,en,English,A black car is to the left of a white bicycle.,A black car is to the left of a white bicycle.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,12.103,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_en.json
37,S07_base,S07,attribute_binding,base,left_of,zh,Chinese,黑色汽车在白色自行车的左边。,黑色汽车在白色自行车的左边。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.323,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_zh.json
38,S07_base,S07,attribute_binding,base,left_of,hi,Hindi,एक काली कार एक सफेद साइकिल के बाईं ओर है।,एक काली कार एक सफेद साइकिल के बाईं ओर है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.993,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_hi.json
39,S07_base,S07,attribute_binding,base,left_of,es,Spanish,Un coche negro está a la izquierda de una bicicleta blanca.,Un coche negro está a la izquierda de una bicicleta blanca.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.622,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_es.json
40,S07_base,S07,attribute_binding,base,left_of,fr,French,Une voiture noire est à gauche de un vélo blanc.,Une voiture noire est à gauche de un vélo blanc.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,12.131,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S07_base_fr.json
41,S08_base,S08,attribute_binding,base,above,en,English,A gray cat is above a brown dog.,A gray cat is above a brown dog.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.288,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_en.json
42,S08_base,S08,attribute_binding,base,above,zh,Chinese,灰色猫在棕色狗的上方。,灰色猫在棕色狗的上方。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.206,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_zh.json
43,S08_base,S08,attribute_binding,base,above,hi,Hindi,एक धूसर बिल्ली एक भूरा कुत्ता के ऊपर है।,एक धूसर बिल्ली एक भूरा कुत्ता के ऊपर है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,13.57,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_hi.json
44,S08_base,S08,attribute_binding,base,above,es,Spanish,Un gato gris está encima de un perro marrón.,Un gato gris está encima de un perro marrón.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.35,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_es.json
45,S08_base,S08,attribute_binding,base,above,fr,French,Un chat gris est au-dessus de un chien marron.,Un chat gris est au-dessus de un chien marron.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,12.144,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S08_base_fr.json
46,S09_base,S09,negation,base,none,en,English,"A blue ship and a yellow sun appear together, and there is no bird.","A blue ship and a yellow sun appear together, and there is no bird.",,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,13.226,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_en.json
47,S09_base,S09,negation,base,none,zh,Chinese,蓝色船和黄色太阳同时出现，不要出现鸟。,蓝色船和黄色太阳同时出现，不要出现鸟。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.347,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_zh.json
48,S09_base,S09,negation,base,none,hi,Hindi,एक नीली नाव और एक पीला सूरज साथ दिखाई दें। पक्षी न दिखे।,एक नीली नाव और एक पीला सूरज साथ दिखाई दें। पक्षी न दिखे।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.492,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_hi.json
49,S09_base,S09,negation,base,none,es,Spanish,"Un barco azul y un sol amarillo aparecen juntos, sin un pájaro.","Un barco azul y un sol amarillo aparecen juntos, sin un pájaro.",,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.645,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_es.json
50,S09_base,S09,negation,base,none,fr,French,"Un bateau bleu et un soleil jaune apparaissent ensemble, sans un oiseau.","Un bateau bleu et un soleil jaune apparaissent ensemble, sans un oiseau.",,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.611,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_base_fr.json
51,S09_negation_rephrase,S09,negation,negation_rephrase,none,en,English,Do not draw a bird; keep only the blue ship and the yellow sun.,Do not draw a bird; keep only the blue ship and the yellow sun.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,18.515,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_en.json
52,S09_negation_rephrase,S09,negation,negation_rephrase,none,zh,Chinese,请不要画鸟，只保留蓝色船和黄色太阳。,请不要画鸟，只保留蓝色船和黄色太阳。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.867,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_zh.json
53,S09_negation_rephrase,S09,negation,negation_rephrase,none,hi,Hindi,कृपया पक्षी न बनाएं; केवल एक नीली नाव और एक पीला सूरज रखें।,कृपया पक्षी न बनाएं; केवल एक नीली नाव और एक पीला सूरज रखें।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.716,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_hi.json
54,S09_negation_rephrase,S09,negation,negation_rephrase,none,es,Spanish,"Por favor, no dibujes un pájaro; conserva solo Un barco azul y Un sol amarillo.","Por favor, no dibujes un pájaro; conserva solo Un barco azul y Un sol amarillo.",,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.512,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_es.json
55,S09_negation_rephrase,S09,negation,negation_rephrase,none,fr,French,Veuillez ne pas dessiner un oiseau; gardez seulement Un bateau bleu et Un soleil jaune.,Veuillez ne pas dessiner un oiseau; gardez seulement Un bateau bleu et Un soleil jaune.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.495,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S09_negation_rephrase_fr.json
56,S10_base,S10,negation,base,above,en,English,"A red umbrella is above a brown bench, and there is no car.","A red umbrella is above a brown bench, and there is no car.",,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.386,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S10_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S10_base_en.json
57,S10_base,S10,negation,base,above,zh,Chinese,红色伞在棕色长椅的上方，不要出现汽车。,红色伞在棕色长椅的上方，不要出现汽车。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.299,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S10_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S10_base_zh.json
58,S10_base,S10,negation,base,above,hi,Hindi,एक लाल छाता एक भूरी बेंच के ऊपर है। कार न दिखे।,एक लाल छाता एक भूरी बेंच के ऊपर है। कार न दिखे।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.499,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S10_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S10_base_hi.json
