request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,prompt_zh_original,expected_objects_json,absent_objects_json,prompt_file,output_png,sidecar_json,model,size,quality,request_total,status,attempts,started_at,completed_at,elapsed_seconds,returncode,stdout_log,stderr_log
24,S05_base,S05,quantity_color,base,left_of,es,Spanish,Dos manzanas roja están a la izquierda de una pera verde.,两个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
25,S05_base,S05,quantity_color,base,left_of,fr,French,Deux pommes rouge sont à gauche de une poire verte.,两个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
26,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,en,English,One red apple is to the left of one green pear.,一个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_quantity_shift_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_en.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:16:28+08:00,2026-05-20T18:17:25+08:00,57.326,0,logs/S05_quantity_shift_en_attempt1.stdout.txt,logs/S05_quantity_shift_en_attempt1.stderr.txt
27,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,zh,Chinese,一个红色苹果在一个绿色梨的左边。,一个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_quantity_shift_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_zh.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:17:25+08:00,2026-05-20T18:17:47+08:00,22.116,0,logs/S05_quantity_shift_zh_attempt1.stdout.txt,logs/S05_quantity_shift_zh_attempt1.stderr.txt
28,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,hi,Hindi,एक लाल सेब एक हरी नाशपाती के बाईं ओर है।,一个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_quantity_shift_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_hi.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:17:47+08:00,2026-05-20T18:18:32+08:00,44.564,0,logs/S05_quantity_shift_hi_attempt1.stdout.txt,logs/S05_quantity_shift_hi_attempt1.stderr.txt
29,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,es,Spanish,Una manzana roja está a la izquierda de una pera verde.,一个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_quantity_shift_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_es.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:18:32+08:00,2026-05-20T18:19:05+08:00,33.116,0,logs/S05_quantity_shift_es_attempt1.stdout.txt,logs/S05_quantity_shift_es_attempt1.stderr.txt
30,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,fr,French,Une pomme rouge est à gauche de une poire verte.,一个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_quantity_shift_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_fr.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:19:05+08:00,2026-05-20T18:19:33+08:00,27.961,0,logs/S05_quantity_shift_fr_attempt1.stdout.txt,logs/S05_quantity_shift_fr_attempt1.stderr.txt
31,S06_base,S06,quantity_color,base,right_of,en,English,Three blue balloons are to the right of one yellow box.,三个蓝色气球在一个黄色盒子的右边。,"[{""name"": ""气球"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 3, ""x"": 0.62, ""y"": 0.44}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.68}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S06_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
32,S06_base,S06,quantity_color,base,right_of,zh,Chinese,三个蓝色气球在一个黄色盒子的右边。,三个蓝色气球在一个黄色盒子的右边。,"[{""name"": ""气球"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 3, ""x"": 0.62, ""y"": 0.44}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.68}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S06_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
33,S06_base,S06,quantity_color,base,right_of,hi,Hindi,तीन नीले गुब्बारा एक पीला डिब्बा के दाईं ओर हैं।,三个蓝色气球在一个黄色盒子的右边。,"[{""name"": ""气球"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 3, ""x"": 0.62, ""y"": 0.44}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.68}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S06_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
34,S06_base,S06,quantity_color,base,right_of,es,Spanish,Tres globos azul están a la derecha de una caja amarilla.,三个蓝色气球在一个黄色盒子的右边。,"[{""name"": ""气球"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 3, ""x"": 0.62, ""y"": 0.44}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.68}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S06_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
