request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,prompt_used,revised_prompt,has_revised_prompt,revised_prompt_has_non_ascii,revised_prompt_ascii_ratio,revised_prompt_english_like,prompt_chars,revised_prompt_chars,char_expansion_ratio,composition_specification,clean_background,realism_or_stylization,negative_no_text,object_relation_clarification,detail_expansion,curation_operation_count,manual_object_presence,manual_color_binding,manual_count_match,manual_relation_match,manual_negation_match,manual_strict_success,manual_observation_status,manual_observation_note,output_png,sidecar_json,generation_completed_at_local,elapsed_seconds
6,S03_base,S03,spatial_color,base,above,en,English,A purple chair is above an orange table.,A purple chair is above an orange table.,"A simple scene showing a purple chair positioned above an orange table. Clean composition, clear spatial relationship, minimal background.",1,0,1.0,1,40,138,3.45,1,1,0,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Purple chair and orange table visible; chair is placed above/on top of the table.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_en.json,2026-05-20T17:18:39+08:00,30.853
7,S03_base,S03,spatial_color,base,above,zh,Chinese,紫色椅子在橙色桌子的上方。,紫色椅子在橙色桌子的上方。,"A simple clean illustration showing a purple chair positioned above an orange table, with the chair clearly floating or placed above the table. Minimal background, clear colors, easy to understand spatial relation.",1,0,1.0,1,13,214,16.4615,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Purple chair and orange table visible; chair is placed above/on top of the table.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_zh.json,2026-05-20T17:19:06+08:00,27.312
8,S03_base,S03,spatial_color,base,above,hi,Hindi,एक बैंगनी कुर्सी एक नारंगी मेज़ के ऊपर है।,एक बैंगनी कुर्सी एक नारंगी मेज़ के ऊपर है।,"A simple, realistic scene: a purple chair placed on top of an orange table. Clean background, clear composition, natural lighting.",1,0,1.0,1,42,130,3.0952,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Purple chair and orange table visible; chair is placed above/on top of the table.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_hi.json,2026-05-20T17:19:32+08:00,26.057
9,S03_base,S03,spatial_color,base,above,es,Spanish,Una silla morada está encima de una mesa naranja.,Una silla morada está encima de una mesa naranja.,"Una silla morada está encima de una mesa naranja. Escena simple, estilo realista, fondo neutro, composición centrada.",1,1,0.9829,0,49,117,2.3878,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Purple chair and orange table visible; chair is placed above/on top of the table.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_es.json,2026-05-20T17:20:04+08:00,31.109
10,S03_base,S03,spatial_color,base,above,fr,French,Une chaise violette est au-dessus de une table orange.,Une chaise violette est au-dessus de une table orange.,"A simple surreal scene: a purple chair floating above an orange table, clean composition, neutral background, realistic lighting, centered arrangement.",1,0,1.0,1,54,151,2.7963,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Purple chair and orange table visible; chair is placed above/on top of the table.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_fr.json,2026-05-20T17:22:34+08:00,150.002
11,S04_base,S04,spatial_color,base,below,en,English,A pink vase is below a black lamp.,A pink vase is below a black lamp.,"A simple indoor scene with a pink vase placed below a black lamp. Clean composition, realistic style, neutral background, clear spatial relationship showing the vase beneath the lamp.",1,0,1.0,1,34,183,5.3824,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Pink vase and black lamp visible; vase is below the hanging lamp.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_en.json,2026-05-20T17:22:58+08:00,24.234
12,S04_base,S04,spatial_color,base,below,zh,Chinese,粉色花瓶在黑色灯的下方。,粉色花瓶在黑色灯的下方。,一幅简洁的室内静物场景：一个粉色花瓶位于一盏黑色灯的正下方。现代风格，干净背景，灯光柔和，构图清晰，真实感。,1,1,0.0,0,12,54,4.5,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Pink vase and black lamp visible; vase is below the hanging lamp.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_zh.json,2026-05-20T17:23:42+08:00,44.413
13,S04_base,S04,spatial_color,base,below,hi,Hindi,एक गुलाबी फूलदान एक काला लैंप के नीचे है।,एक गुलाबी फूलदान एक काला लैंप के नीचे है।,"A simple indoor scene: a pink vase placed underneath a black lamp. Clean composition, realistic lighting, neutral background, centered objects.",1,0,1.0,1,41,143,3.4878,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Pink vase and black lamp visible; vase is below the hanging lamp.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_hi.json,2026-05-20T17:24:13+08:00,30.987
14,S04_base,S04,spatial_color,base,below,es,Spanish,Un jarrón rosa está debajo de una lámpara negra.,Un jarrón rosa está debajo de una lámpara negra.,"A pink vase placed underneath a black lamp, simple indoor composition, realistic lighting, clean background, centered composition.",1,0,1.0,1,48,130,2.7083,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Pink vase and black lamp visible; vase is below the hanging lamp.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_es.json,2026-05-20T17:24:54+08:00,40.696
15,S04_base,S04,spatial_color,base,below,fr,French,Un vase rose est au-dessous de une lampe noire.,Un vase rose est au-dessous de une lampe noire.,"A simple realistic scene: a pink vase positioned below a black lamp. Clean composition, neutral background, soft lighting, centered arrangement.",1,0,1.0,1,47,144,3.0638,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Pink vase and black lamp visible; vase is below the hanging lamp.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_fr.json,2026-05-20T17:25:18+08:00,23.761
16,S05_base,S05,quantity_color,base,left_of,en,English,Two red apples are to the left of one green pear.,Two red apples are to the left of one green pear.,"A simple clean illustration of still life fruits on a white background: two red apples positioned to the left of one green pear. The apples should clearly appear on the left side, and the pear should be on the right side. Natural-looking fruit, soft shadows, minimal composition.",1,0,1.0,1,49,279,5.6939,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Two red apples and one green pear visible; apples are left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_en.json,2026-05-20T17:26:18+08:00,60.413
17,S05_base,S05,quantity_color,base,left_of,zh,Chinese,两个红色苹果在一个绿色梨的左边。,两个红色苹果在一个绿色梨的左边。,"A simple still-life illustration: two red apples positioned to the left of one green pear. Clean composition on a plain light background, realistic fruit, clear spatial arrangement with the apples on the left and the pear on the right.",1,0,1.0,1,16,235,14.6875,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Two red apples and one green pear visible; apples are left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_zh.json,2026-05-20T17:26:48+08:00,29.192
18,S05_base,S05,quantity_color,base,left_of,hi,Hindi,दो लाल सेब एक हरी नाशपाती के बाईं ओर हैं।,दो लाल सेब एक हरी नाशपाती के बाईं ओर हैं।,"A simple still life illustration: two red apples positioned to the left of one green pear. Clean plain background, realistic fruit, clear spatial arrangement, no text.",1,0,1.0,1,41,167,4.0732,1,1,1,1,1,1,6,1,1,1,1,,1,light_reviewed_contact_sheet,Two red apples and one green pear visible; apples are left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_hi.json,2026-05-20T17:27:13+08:00,25.947
19,S05_base,S05,quantity_color,base,left_of,es,Spanish,Dos manzanas roja están a la izquierda de una pera verde.,Dos manzanas roja están a la izquierda de una pera verde.,"A simple still life illustration: two red apples positioned to the left of a green pear on a plain background. Clean composition, realistic fruit, clear spatial relationship, bright colors.",1,0,1.0,1,57,189,3.3158,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Two red apples and one green pear visible; apples are left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_es.json,2026-05-20T17:27:41+08:00,27.53
20,S05_base,S05,quantity_color,base,left_of,fr,French,Deux pommes rouge sont à gauche de une poire verte.,Deux pommes rouge sont à gauche de une poire verte.,"A simple clean illustration of exactly two red apples positioned to the left of one green pear, on a plain white background. The apples are clearly red, the pear is clearly green, arranged left-to-right as described.",1,0,1.0,1,51,216,4.2353,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Two red apples and one green pear visible; apples are left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_fr.json,2026-05-20T17:28:07+08:00,26.055
26,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,en,English,One red apple is to the left of one green pear.,One red apple is to the left of one green pear.,A simple clean illustration showing one red apple positioned to the left of one green pear on a plain white background.,1,0,1.0,1,47,119,2.5319,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,One red apple and one green pear visible; apple is left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_en.json,2026-05-20T18:17:25+08:00,57.326
27,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,zh,Chinese,一个红色苹果在一个绿色梨的左边。,一个红色苹果在一个绿色梨的左边。,"A simple clean illustration: one red apple positioned to the left of one green pear. Plain background, clear separation, centered composition, realistic fruit shapes, bright colors.",1,0,1.0,1,16,181,11.3125,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,One red apple and one green pear visible; apple is left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_zh.json,2026-05-20T18:17:47+08:00,22.116
28,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,hi,Hindi,एक लाल सेब एक हरी नाशपाती के बाईं ओर है।,एक लाल सेब एक हरी नाशपाती के बाईं ओर है।,"A simple clean illustration: a red apple positioned on the left side of a green pear. Plain light background, minimal composition, realistic fruit, clearly showing left-right relationship.",1,0,1.0,1,40,188,4.7,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,One red apple and one green pear visible; apple is left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_hi.json,2026-05-20T18:18:32+08:00,44.564
29,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,es,Spanish,Una manzana roja está a la izquierda de una pera verde.,Una manzana roja está a la izquierda de una pera verde.,Simple clean illustration: a red apple positioned to the left of a green pear on a plain white background.,1,0,1.0,1,55,106,1.9273,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,One red apple and one green pear visible; apple is left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_es.json,2026-05-20T18:19:05+08:00,33.116
30,S05_quantity_shift,S05,quantity_color,quantity_shift,left_of,fr,French,Une pomme rouge est à gauche de une poire verte.,Une pomme rouge est à gauche de une poire verte.,"A simple clean illustration of a red apple positioned to the left of a green pear on a plain light background, realistic fruit, centered composition.",1,0,1.0,1,48,149,3.1042,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,One red apple and one green pear visible; apple is left of the pear.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_quantity_shift_fr.json,2026-05-20T18:19:33+08:00,27.961
21,S06_base,S06,quantity_color,base,right_of,en,English,Three blue balloons are to the right of one yellow box.,Three blue balloons are to the right of one yellow box.,"A simple clean illustration on a white background: one yellow box on the left side, and three blue balloons positioned to the right of the box. Minimalist flat style, clear spacing, no text.",1,0,1.0,1,55,190,3.4545,1,1,1,1,1,1,6,1,1,1,1,,1,light_reviewed_contact_sheet,Three blue balloons and one yellow box visible; balloons are right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_en.json,2026-05-20T17:28:33+08:00,25.95
22,S06_base,S06,quantity_color,base,right_of,zh,Chinese,三个蓝色气球在一个黄色盒子的右边。,三个蓝色气球在一个黄色盒子的右边。,"A simple clean illustration: a yellow box on the left, and three blue balloons positioned to the right of the box. Minimal background, clear colors, children's picture-book style.",1,0,1.0,1,17,179,10.5294,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Three blue balloons and one yellow box visible; balloons are right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_zh.json,2026-05-20T17:29:19+08:00,45.47
23,S06_base,S06,quantity_color,base,right_of,hi,Hindi,तीन नीले गुब्बारा एक पीला डिब्बा के दाईं ओर हैं।,तीन नीले गुब्बारा एक पीला डिब्बा के दाईं ओर हैं।,"A simple clean illustration: a yellow box on the left side, and three blue balloons positioned to the right of the yellow box. Minimal background, clear spatial relationship, bright colors.",1,0,1.0,1,48,189,3.9375,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Three blue balloons and one yellow box visible; balloons are right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_hi.json,2026-05-20T17:29:44+08:00,25.753
24,S06_base,S06,quantity_color,base,right_of,es,Spanish,Tres globos azul están a la derecha de una caja amarilla.,Tres globos azul están a la derecha de una caja amarilla.,"A simple clean illustration showing three blue balloons positioned to the right of a yellow box. Minimal background, clear spatial relationship, bright colors, no text.",1,0,1.0,1,57,168,2.9474,1,1,1,1,1,1,6,1,1,1,1,,1,light_reviewed_contact_sheet,Three blue balloons and one yellow box visible; balloons are right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_es.json,2026-05-20T17:30:10+08:00,25.642
25,S06_base,S06,quantity_color,base,right_of,fr,French,Trois ballons bleu sont à droite de une boîte jaune.,Trois ballons bleu sont à droite de une boîte jaune.,"Simple flat illustration on a white background: a yellow box on the left, and three blue balloons positioned to the right of the box. Clean, minimal, childlike educational style. No text.",1,0,1.0,1,52,187,3.5962,1,1,1,1,1,1,6,1,1,1,1,,1,light_reviewed_contact_sheet,Three blue balloons and one yellow box visible; balloons are right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_fr.json,2026-05-20T17:30:34+08:00,23.709
26,S07_base,S07,attribute_binding,base,left_of,en,English,A black car is to the left of a white bicycle.,A black car is to the left of a white bicycle.,"A simple realistic scene: a black car positioned to the left of a white bicycle, both clearly visible on a neutral background, with the car on the left side of the composition and the bicycle on the right side.",1,0,1.0,1,46,210,4.5652,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Black car and white bicycle visible; car is left of the bicycle.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_en.json,2026-05-20T17:31:22+08:00,47.684
27,S07_base,S07,attribute_binding,base,left_of,zh,Chinese,黑色汽车在白色自行车的左边。,黑色汽车在白色自行车的左边。,一幅简洁清晰的场景图：一辆黑色汽车位于一辆白色自行车的左边。白色背景，物体居中，风格写实，光线自然，构图简单。,1,1,0.0,0,14,55,3.9286,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Black car and white bicycle visible; car is left of the bicycle.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_zh.json,2026-05-20T17:31:46+08:00,24.268
28,S07_base,S07,attribute_binding,base,left_of,hi,Hindi,एक काली कार एक सफेद साइकिल के बाईं ओर है।,एक काली कार एक सफेद साइकिल के बाईं ओर है।,"A simple realistic scene showing a black car positioned to the left of a white bicycle. Clean neutral background, clear spatial relationship, car clearly on the left side, bicycle clearly on the right side.",1,0,1.0,1,41,206,5.0244,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Black car and white bicycle visible; car is left of the bicycle.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_hi.json,2026-05-20T17:32:58+08:00,72.021
29,S07_base,S07,attribute_binding,base,left_of,es,Spanish,Un coche negro está a la izquierda de una bicicleta blanca.,Un coche negro está a la izquierda de una bicicleta blanca.,"A simple realistic scene: a black car positioned to the left of a white bicycle on a plain background, clear spatial relationship, well-lit, no extra objects.",1,0,1.0,1,59,158,2.678,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Black car and white bicycle visible; car is left of the bicycle.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_es.json,2026-05-20T17:34:35+08:00,96.952
30,S07_base,S07,attribute_binding,base,left_of,fr,French,Une voiture noire est à gauche de un vélo blanc.,Une voiture noire est à gauche de un vélo blanc.,"Une scène simple et réaliste montrant une voiture noire à gauche d’un vélo blanc, sur un fond neutre.",1,1,0.9505,0,48,101,2.1042,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Black car and white bicycle visible; car is left of the bicycle.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_fr.json,2026-05-20T17:35:10+08:00,34.301
31,S08_base,S08,attribute_binding,base,above,en,English,A gray cat is above a brown dog.,A gray cat is above a brown dog.,"A simple scene showing a gray cat positioned above a brown dog. Clean composition, realistic but uncomplicated, neutral background.",1,0,1.0,1,32,131,4.0938,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Gray cat and brown dog visible; cat is above/on top of the dog.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_en.json,2026-05-20T17:35:38+08:00,27.837
