prompt_id,variant_type,prompt_zh,seed,image_path,generated_success,runtime_seconds,needs_human_review,visible_binding_failure,observation,generated_success_numeric,scene_id,category,variant_type_spec,prompt_zh_spec,relation,expected_objects_json,absent_objects_json,language,language_name,generated_success_bool,positive_prompt,prompt_char_len,positive_clip_tokens,clip_tokens_over_77,clip_token_excess
S02_synonym,synonym,Please generate a simple image of a yellow ball on the right side of a green box.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_synonym_seed2026051801_00001_.png,True,6.021,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,synonym,Please generate a simple image of a yellow ball on the right side of a green box.,right_of,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"Please generate a simple image of a yellow ball on the right side of a green box., clean simple composition, best quality",81,26,False,0
S02_synonym,synonym,Please generate a simple image of a yellow ball on the right side of a green box.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_synonym_seed2026051802_00001_.png,True,8.021,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,synonym,Please generate a simple image of a yellow ball on the right side of a green box.,right_of,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"Please generate a simple image of a yellow ball on the right side of a green box., clean simple composition, best quality",81,26,False,0
S02_word_order,word_order,To the right of the green box is a yellow ball.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_word_order_seed2026051801_00001_.png,True,6.02,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,word_order,To the right of the green box is a yellow ball.,right_of,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"To the right of the green box is a yellow ball., clean simple composition, best quality",47,20,False,0
S02_word_order,word_order,To the right of the green box is a yellow ball.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_word_order_seed2026051802_00001_.png,True,4.015,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,word_order,To the right of the green box is a yellow ball.,right_of,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"To the right of the green box is a yellow ball., clean simple composition, best quality",47,20,False,0
S02_attribute_swap,attribute_swap,A green ball is to the right of a yellow box.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_attribute_swap_seed2026051801_00001_.png,True,4.015,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,attribute_swap,A green ball is to the right of a yellow box.,right_of,"[{""name"": ""球"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"A green ball is to the right of a yellow box., clean simple composition, best quality",45,20,False,0
S02_attribute_swap,attribute_swap,A green ball is to the right of a yellow box.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_attribute_swap_seed2026051802_00001_.png,True,4.013,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,attribute_swap,A green ball is to the right of a yellow box.,right_of,"[{""name"": ""球"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"A green ball is to the right of a yellow box., clean simple composition, best quality",45,20,False,0
S03_base,base,A purple chair is above an orange table.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_base_seed2026051801_00001_.png,True,4.015,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,base,A purple chair is above an orange table.,above,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"A purple chair is above an orange table., clean simple composition, best quality",40,17,False,0
S03_base,base,A purple chair is above an orange table.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_base_seed2026051802_00001_.png,True,4.014,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,base,A purple chair is above an orange table.,above,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"A purple chair is above an orange table., clean simple composition, best quality",40,17,False,0
S03_synonym,synonym,Please generate a simple image of a purple chair above an orange table.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_synonym_seed2026051801_00001_.png,True,6.017,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,synonym,Please generate a simple image of a purple chair above an orange table.,above,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"Please generate a simple image of a purple chair above an orange table., clean simple composition, best quality",71,22,False,0
S03_synonym,synonym,Please generate a simple image of a purple chair above an orange table.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_synonym_seed2026051802_00001_.png,True,4.011,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,synonym,Please generate a simple image of a purple chair above an orange table.,above,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"Please generate a simple image of a purple chair above an orange table., clean simple composition, best quality",71,22,False,0
S03_word_order,word_order,Above the orange table is a purple chair.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_word_order_seed2026051801_00001_.png,True,6.016,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,word_order,Above the orange table is a purple chair.,above,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"Above the orange table is a purple chair., clean simple composition, best quality",41,17,False,0
S03_word_order,word_order,Above the orange table is a purple chair.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_word_order_seed2026051802_00001_.png,True,6.024,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,word_order,Above the orange table is a purple chair.,above,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"Above the orange table is a purple chair., clean simple composition, best quality",41,17,False,0
S03_attribute_swap,attribute_swap,An orange chair is above a purple table.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_attribute_swap_seed2026051801_00001_.png,True,6.031,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,attribute_swap,An orange chair is above a purple table.,above,"[{""name"": ""椅子"", ""color"": ""橙色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""紫色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"An orange chair is above a purple table., clean simple composition, best quality",40,17,False,0
S03_attribute_swap,attribute_swap,An orange chair is above a purple table.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_attribute_swap_seed2026051802_00001_.png,True,6.022,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S03,spatial_color,attribute_swap,An orange chair is above a purple table.,above,"[{""name"": ""椅子"", ""color"": ""橙色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""紫色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],en,English,True,"An orange chair is above a purple table., clean simple composition, best quality",40,17,False,0
S04_base,base,A pink vase is below a black lamp.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_base_seed2026051801_00001_.png,True,6.029,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,base,A pink vase is below a black lamp.,below,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"A pink vase is below a black lamp., clean simple composition, best quality",34,17,False,0
S04_base,base,A pink vase is below a black lamp.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_base_seed2026051802_00001_.png,True,6.027,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,base,A pink vase is below a black lamp.,below,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"A pink vase is below a black lamp., clean simple composition, best quality",34,17,False,0
S04_synonym,synonym,Please generate a simple image of a pink vase below a black lamp.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_synonym_seed2026051801_00001_.png,True,6.026,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,synonym,Please generate a simple image of a pink vase below a black lamp.,below,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"Please generate a simple image of a pink vase below a black lamp., clean simple composition, best quality",65,22,False,0
S04_synonym,synonym,Please generate a simple image of a pink vase below a black lamp.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_synonym_seed2026051802_00001_.png,True,6.025,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,synonym,Please generate a simple image of a pink vase below a black lamp.,below,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"Please generate a simple image of a pink vase below a black lamp., clean simple composition, best quality",65,22,False,0
S04_word_order,word_order,Below the black lamp is a pink vase.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_word_order_seed2026051801_00001_.png,True,6.029,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,word_order,Below the black lamp is a pink vase.,below,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"Below the black lamp is a pink vase., clean simple composition, best quality",36,17,False,0
S04_word_order,word_order,Below the black lamp is a pink vase.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_word_order_seed2026051802_00001_.png,True,6.024,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,word_order,Below the black lamp is a pink vase.,below,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"Below the black lamp is a pink vase., clean simple composition, best quality",36,17,False,0
S04_attribute_swap,attribute_swap,A black vase is below a pink lamp.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_attribute_swap_seed2026051801_00001_.png,True,6.026,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,attribute_swap,A black vase is below a pink lamp.,below,"[{""name"": ""花瓶"", ""color"": ""黑色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""粉色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"A black vase is below a pink lamp., clean simple composition, best quality",34,17,False,0
S04_attribute_swap,attribute_swap,A black vase is below a pink lamp.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_attribute_swap_seed2026051802_00001_.png,True,6.025,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S04,spatial_color,attribute_swap,A black vase is below a pink lamp.,below,"[{""name"": ""花瓶"", ""color"": ""黑色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""粉色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],en,English,True,"A black vase is below a pink lamp., clean simple composition, best quality",34,17,False,0
S05_base,base,Two red apples are to the left of one green pear.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_base_seed2026051801_00001_.png,True,6.028,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,base,Two red apples are to the left of one green pear.,left_of,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"Two red apples are to the left of one green pear., clean simple composition, best quality",49,20,False,0
S05_base,base,Two red apples are to the left of one green pear.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_base_seed2026051802_00001_.png,True,6.022,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,base,Two red apples are to the left of one green pear.,left_of,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"Two red apples are to the left of one green pear., clean simple composition, best quality",49,20,False,0
S05_synonym,synonym,Please generate a simple image of two red apples on the left side of one green pear.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_synonym_seed2026051801_00001_.png,True,6.024,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,synonym,Please generate a simple image of two red apples on the left side of one green pear.,left_of,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"Please generate a simple image of two red apples on the left side of one green pear., clean simple composition, best quality",84,26,False,0
S05_synonym,synonym,Please generate a simple image of two red apples on the left side of one green pear.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_synonym_seed2026051802_00001_.png,True,6.016,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,synonym,Please generate a simple image of two red apples on the left side of one green pear.,left_of,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"Please generate a simple image of two red apples on the left side of one green pear., clean simple composition, best quality",84,26,False,0
S05_word_order,word_order,To the left of one green pear are two red apples.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_word_order_seed2026051801_00001_.png,True,6.051,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,word_order,To the left of one green pear are two red apples.,left_of,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"To the left of one green pear are two red apples., clean simple composition, best quality",49,20,False,0
S05_word_order,word_order,To the left of one green pear are two red apples.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_word_order_seed2026051802_00001_.png,True,8.022,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,word_order,To the left of one green pear are two red apples.,left_of,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"To the left of one green pear are two red apples., clean simple composition, best quality",49,20,False,0
S05_attribute_swap,attribute_swap,Two green apples are to the left of one red pear.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_attribute_swap_seed2026051801_00001_.png,True,6.023,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S05,quantity_color,attribute_swap,Two green apples are to the left of one red pear.,left_of,"[{""name"": ""苹果"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],en,English,True,"Two green apples are to the left of one red pear., clean simple composition, best quality",49,20,False,0
